 Timestamp,Source,Speed (kn),,Longitude (°),Latitude (°),lon2,lat2,Course (°)
2018-02-08 23:07 (UTC),Terr-AIS,138,,-38.58606,57.64278,,,212
2018-02-08 23:11 (UTC),Terr-AIS,143,,-38.7216,57.519,,,207
2018-02-08 23:13 (UTC),Terr-AIS,152,,-38.83867,57.40959,,,211
2018-02-08 23:15 (UTC),Terr-AIS,139,,-38.91439,57.27599,,,198
2018-02-08 23:17 (UTC),Terr-AIS,133,,-38.98013,57.15482,,,201
2018-02-08 23:19 (UTC),Terr-AIS,140,,-39.01838,57.08393,,,196
2018-02-08 23:22 (UTC),Terr-AIS,140,,-39.05219,57.021,,,194
2018-02-08 23:24 (UTC),Terr-AIS,132,,-39.0981,56.93988,,,198
2018-02-08 23:26 (UTC),Terr-AIS,119,,-39.20218,56.75149,,,197
2018-02-08 23:30 (UTC),Terr-AIS,126,,-39.32856,56.6087,,,202
2018-02-08 23:32 (UTC),Terr-AIS,120,,-39.39724,56.53169,,,202
2018-02-08 23:34 (UTC),Terr-AIS,103,,-39.41215,56.51533,,,205
2018-02-08 23:36 (UTC),Terr-AIS,110,,-39.45491,56.46961,,,202
2018-02-08 23:39 (UTC),Terr-AIS,116,,-39.4677,56.45589,,,212
2018-02-08 23:42 (UTC),Terr-AIS,117,,-39.56172,56.39268,,,220
2018-02-08 23:44 (UTC),Terr-AIS,115,,-39.64615,56.34192,,,223
2018-02-08 23:46 (UTC),Terr-AIS,106,,-39.76023,56.27079,,,225
2018-02-08 23:50 (UTC),Terr-AIS,109,,-39.79653,56.24991,,,213
2018-02-08 23:52 (UTC),Terr-AIS,106,,-39.85702,56.21819,,,229
2018-02-08 23:54 (UTC),Terr-AIS,106,,-39.95612,56.16749,,,230
2018-02-08 23:57 (UTC),Terr-AIS,111,,-40.14803,56.07151,,,228
2018-02-09 00:00 (UTC),Terr-AIS,130,,-40.48395,55.90556,,,229
2018-02-09 00:02 (UTC),Terr-AIS,129,,-40.49618,55.89921,,,229
2018-02-09 00:05 (UTC),Terr-AIS,113,,-41.47472,55.35039,,,225
2018-02-09 00:08 (UTC),Terr-AIS,129,,-41.58443,55.25827,,,204
2018-02-09 00:10 (UTC),Terr-AIS,139,,-41.69084,55.15475,,,207
2018-02-09 00:12 (UTC),Terr-AIS,132,,-41.7065,55.13795,,,208
2018-02-09 00:16 (UTC),Terr-AIS,131,,-41.75527,55.08756,,,206
2018-02-09 00:18 (UTC),Terr-AIS,128,,-41.80766,55.03283,,,208
